ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3102637,HJ758680,11/14/2003 12:46:05 PM,028XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1124,011,2,27,18,1157408,1899559,2003,02/28/2018 03:56:25 PM,41.880152527,-87.697477652,"(41.880152527, -87.697477652)"
3103850,HJ796404,12/03/2003 06:40:00 PM,015XX N HALSTED ST,1505,PROSTITUTION,CALL OPERATION,RESIDENCE,true,false,1822,018,43,8,16,1170733,1910316,2003,02/10/2018 03:50:01 PM,41.909389077,-87.648234613,"(41.909389077, -87.648234613)"
3107299,HJ840184,12/27/2003 02:00:00 AM,011XX W DICKENS AVE,0810,THEFT,OVER $500,STREET,false,false,1811,018,32,7,06,1168487,1914120,2003,02/28/2018 03:56:25 PM,41.919876402,-87.656375078,"(41.919876402, -87.656375078)"
3108070,HJ840682,12/27/2003 03:40:05 PM,035XX N KIMBALL AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1732,017,35,21,06,1153099,1923246,2003,02/28/2018 03:56:25 PM,41.945238279,-87.712670479,"(41.945238279, -87.712670479)"
3109068,HJ843345,12/25/2003 09:00:00 AM,068XX S LAFAYETTE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,false,false,0722,007,6,69,07,1177010,1859747,2003,02/28/2018 03:56:25 PM,41.77048403,-87.626704252,"(41.77048403, -87.626704252)"
3109602,HJ836824,12/24/2003 09:05:00 PM,032XX N SACRAMENTO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,false,true,1733,017,33,21,08B,1155813,1921362,2003,02/10/2018 03:50:01 PM,41.940014092,-87.702745755,"(41.940014092, -87.702745755)"
3109656,HJ762133,11/16/2003 12:45:00 AM,014XX W 19TH ST,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,1222,012,25,31,18,1167162,1890850,2003,02/28/2018 03:56:25 PM,41.85605042,-87.661912295,"(41.85605042, -87.661912295)"
3110970,HJ843062,12/29/2003 12:05:00 AM,015XX W THORNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2013,020,48,77,08B,1164943,1939622,2003,02/28/2018 03:56:25 PM,41.98993107,-87.668669546,"(41.98993107, -87.668669546)"
3111818,HJ846793,12/30/2003 05:30:00 AM,071XX S GREEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0733,007,17,68,07,1171869,1857608,2003,02/28/2018 03:56:25 PM,41.764728716,-87.645611748,"(41.764728716, -87.645611748)"
3111873,HJ840914,12/27/2003 05:13:00 PM,008XX W WILSON AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,2313,019,46,3,26,1169843,1930753,2003,02/28/2018 03:56:25 PM,41.965488553,-87.650906419,"(41.965488553, -87.650906419)"
3114610,HJ846204,12/30/2003 05:00:00 PM,0000X N PULASKI RD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,1122,011,28,26,26,1149724,1899907,2003,02/28/2018 03:56:25 PM,41.881260233,-87.725683551,"(41.881260233, -87.725683551)"
3118670,HJ769823,11/19/2003 09:20:00 PM,080XX S PRAIRIE AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0623,006,6,44,18,1179430,1851688,2003,02/28/2018 03:56:25 PM,41.74831435,-87.618079178,"(41.74831435, -87.618079178)"
3119851,HK104607,01/03/2004 11:11:49 AM,028XX E 83RD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0423,004,7,46,06,1196754,1850490,2004,02/10/2018 03:50:01 PM,41.744614234,-87.554639013,"(41.744614234, -87.554639013)"
3120157,HK105891,01/04/2004 01:10:32 AM,078XX S HERMITAGE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,false,true,0611,006,17,71,04B,1166040,1852805,2004,02/28/2018 03:56:25 PM,41.751674522,-87.667112995,"(41.751674522, -87.667112995)"
3120368,HK106890,01/04/2004 06:02:17 PM,012XX W WEBSTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1811,018,32,7,14,1167485,1914757,2004,02/10/2018 03:50:01 PM,41.921646012,-87.660038193,"(41.921646012, -87.660038193)"
3121730,HK110561,12/13/2003 09:00:00 AM,093XX S LA SALLE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0634,006,21,49,26,1176924,1842942,2003,02/28/2018 03:56:25 PM,41.724371022,-87.627524785,"(41.724371022, -87.627524785)"
3122763,HK111193,01/07/2004 02:30:00 AM,032XX W 25TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1024,010,22,30,14,1155223,1887213,2004,02/28/2018 03:56:25 PM,41.846317901,-87.705832098,"(41.846317901, -87.705832098)"
3124378,HJ789555,11/30/2003 07:41:00 AM,001XX S LOTUS AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,ALLEY,true,false,1522,015,29,25,18,1139900,1899022,2003,02/28/2018 03:56:25 PM,41.879016888,-87.761778871,"(41.879016888, -87.761778871)"
3128505,HK117559,01/10/2004 03:00:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0122,001,42,32,06,1176363,1900552,2004,02/10/2018 03:50:01 PM,41.882470918,-87.627847625,"(41.882470918, -87.627847625)"
3129744,HJ802439,12/06/2003 05:24:47 PM,105XX S EDBROOKE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,0512,005,9,49,18,1179132,1834992,2003,02/28/2018 03:56:25 PM,41.702505206,-87.619678345,"(41.702505206, -87.619678345)"
3132919,HK124060,01/13/2004 08:30:00 AM,048XX N CENTRAL PARK AVE,0485,BATTERY,AGGRAVATED OF A CHILD,RESIDENCE,true,false,1712,017,39,14,04B,1151514,1931849,2004,02/28/2018 03:56:25 PM,41.968876863,-87.71826941,"(41.968876863, -87.71826941)"
3135197,HJ741483,11/05/2003 08:25:00 PM,030XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2113,001,3,35,18,1176777,1884776,2003,02/28/2018 03:56:25 PM,41.839171186,-87.626804147,"(41.839171186, -87.626804147)"
3135209,HK124564,01/14/2004 10:30:00 AM,028XX N PULASKI RD,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,2523,025,30,21,06,1149238,1918429,2004,02/28/2018 03:56:25 PM,41.932095868,-87.726987375,"(41.932095868, -87.726987375)"
3136461,HK125530,01/07/2004 02:00:00 PM,024XX W SCHUBERT AVE,0810,THEFT,OVER $500,SIDEWALK,false,false,1411,014,1,22,06,1159812,1917869,2004,02/28/2018 03:56:25 PM,41.93034741,-87.688144754,"(41.93034741, -87.688144754)"
3136606,HK127379,01/15/2004 06:20:00 PM,018XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,true,1022,010,24,29,06,1155320,1890817,2004,02/28/2018 03:56:25 PM,41.856205744,-87.70537939,"(41.856205744, -87.70537939)"
3137375,HK127070,01/15/2004 03:42:26 PM,028XX N KILBOURN AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",false,false,2521,025,31,20,06,1145894,1918497,2004,02/28/2018 03:56:25 PM,41.932346705,-87.739274504,"(41.932346705, -87.739274504)"
3137739,HK121110,01/12/2004 03:40:00 PM,074XX S MERRILL AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,0333,003,5,43,05,1191843,1855973,2004,02/28/2018 03:56:25 PM,41.759780594,-87.572455541,"(41.759780594, -87.572455541)"
3144247,HJ840357,12/27/2003 12:50:00 PM,002XX W 38TH PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,true,false,0925,009,3,34,18,1175110,1879433,2003,02/28/2018 03:56:25 PM,41.824547013,-87.633081028,"(41.824547013, -87.633081028)"
3144824,HK136144,01/19/2004 06:30:00 PM,035XX N ELSTON AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1733,017,33,21,06,1154495,1923437,2004,02/28/2018 03:56:25 PM,41.945734543,-87.707534167,"(41.945734543, -87.707534167)"
3145017,HJ843012,12/28/2003 11:30:00 PM,036XX W SHAKESPEARE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,2525,025,26,22,26,1151697,1914044,2003,02/28/2018 03:56:25 PM,41.920014978,-87.718066452,"(41.920014978, -87.718066452)"
